Arm,Punishment
4,0
5,1
1,0
2,0
3,1
5,1
1,0
4,0
7,1
5,1
4,0
5,1
2,0
3,1
7,1
4,0
5,1
8,0
3,1
8,1
2,0
3,1
6,0

 












